post_title,post_excerpt,post_content,sku,regular_price,tax:product_type,tax:product_cat,attribute:pa_chain,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diamonds,attribute:pa_lock,attribute:pa_material,attribute:pa_measure,attribute_data:pa_measure,attribute_default:pa_measure
890-XL,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",890-XL,"496,00",simple,Tabble Eggs,,,,,,,Porcelain and metal,40 cm,,40 cm
9.00E+128,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",9.00E+128,"5.400,00",simple,Tabble Eggs,,,,,,,"Crystal, metal and 24 carat gold plated",51 x 23 cm,,51 x 23 cm
800F242,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",800F242,"5.760,00",simple,Tabble Eggs,,,,,,,"Crystal, metal and 24 carat gold plated",60 x 30 cm,,60 x 30 cm
EGG2187/8-250P B,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,EGG2187/8-250P B VARIABLE,"220,00",variable,Hermitage,,B | W,0|1|1,B,,,Crystal,"9 x 13,5 cm",,"9 x 13,5 cm"
EGG2187/8 V,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,EGG2187/8 V VARIABLE,"240,00",variable,Hermitage,,V | R | DB | GR,0|1|1,V,,,Crystal,"9 x 13,5 cm",,"9 x 13,5 cm"
FTD-EGG2187/8 GR,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FTD-EGG2187/8 GR VARIABLE,"290,00",variable,Hermitage,,GR | V | DB | R,0|1|1,GR,,,Crystal,9 x 22 cm,,9 x 22 cm
EGG BOX2410-B-S R,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,EGG BOX2410-B-S R VARIABLE,"200,00",variable,Hermitage,,R | DB | V | GR,0|1|1,R,,,Crystal,"9,5 x 13,5 cm",,"9,5 x 13,5 cm"
EGG BOX2410-S R,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,EGG BOX2410-S R VARIABLE,"200,00",variable,Hermitage,,R | DB | V | GR,0|1|1,R,,,Crystal,"9,5 x 13,5 cm",,"9,5 x 13,5 cm"
FTD-EGG BOX2410-S DB,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FTD-EGG BOX2410-S DB VARIABLE,"260,00",variable,Hermitage,,DB | R | V | GR,0|1|1,DB,,,Crystal,"9,5 x 22 cm",,"9,5 x 22 cm"
E 3001,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",E 3001,"964,00",simple,Treasure Mountain,,,,,,,,,,
E 3002,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",E 3002,"994,00",simple,Treasure Mountain,,,,,,,,,,
H 3002,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",H 3002,"497,00",simple,Treasure Mountain,,,,,,,,,,
H 3004,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",H 3004,"477,00",simple,Treasure Mountain,,,,,,,,,,
R 3005,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",R 3005,"239,00",simple,Treasure Mountain,,,,,,,,,,
R 3006,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",R 3006,"249,00",simple,Treasure Mountain,,,,,,,,,,
HS-5,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HS-5 VARIABLE,"149,00",variable,Treasure Mountain,,S|G,0|1|1,S,,,,,,
AS-5,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AS-5 VARIABLE,"89,00",variable,Treasure Mountain,,,,S | G,0|1|1,S,,,,
HO-2,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HO-2,"149,00",simple,Treasure Mountain,,,,O,,,Onyx & gold filled,,,
AO-2,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AO-2,,simple,Treasure Mountain,,,,O,,,Onyx & gold filled,,,
HO-4,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HO-4,"149,00",simple,Treasure Mountain,,,,O,,,Onyx & gold filled,,,
AO-4,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AO-4,,simple,Treasure Mountain,,,,O,,,Onyx & gold filled,,,
HLP-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HLP-1,"149,00",simple,Treasure Mountain,,,,LP,,,"Lapis, freshwater pearls & gold filled",,,
HOP-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HOP-1,"149,00",simple,Treasure Mountain,,,,OP,,,"Onyx, freshwater pearls & gold filled",,,
HTP-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HTP-1,"149,00",simple,Treasure Mountain,,,,TP,,,"Turquoise, freshwater pearls & gold filled",,,
HA-2,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HA-2,"149,00",simple,Treasure Mountain,,,,A,,,"Amethyst, freshwater pearls & gold filled",,,
AA-2,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AA-2,"89,00",simple,Treasure Mountain,,,,A,,,,,,
HT-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HT-1,"149,00",simple,Treasure Mountain,,,,T,,,Turquoise & gold filled,,,
HL-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HL-1,"149,00",simple,Treasure Mountain,,,,L,,,Lapis & gold filled,,,
HK-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HK-1,"149,00",simple,Treasure Mountain,,,,K,,,Coral & gold filled,,,
HO-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HO-1,"149,00",simple,Treasure Mountain,,,,O,,,Onyx & gold filled,,,
AT-1,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AT-1,"89,00",simple,Treasure Mountain,,,,T,,,Turquoise & gold filled,,,
HP-10,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HP-10,"249,00",simple,Treasure Mountain,,,,P,,,Freshwater pearls & gold filled,,,
HP-11,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HP-11,"249,00",simple,Treasure Mountain,,,,P,,,Freshwater pearls & gold filled,,,
HP-13,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",HP-13,"249,00",simple,Treasure Mountain,,,,P,,,Freshwater pearls & gold filled,,,
AG-3372,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AG-3372,"130,00",simple,Treasure Mountain,,,,G,,,,,,
AS-3372,"Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs","Semi-precious stones are the distinctive feature of our Treasure Mountain collection; the cut and combination of precious elements give life to unique designs, elegant and perfect jewels that accompany the precious eggs",AS-3372,"130,00",simple,Treasure Mountain,,,,S,,,,,,
